Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.6244176706827309,0.3664688427299703,0.6106304079110012,0.45804357904496984,0.6639974961517957
Random Forest,0.7315662650602409,0.48108493932905066,0.41656365883807167,0.44650546538588937,0.7106284492642061
XGBoost,0.702008032128514,0.4478662560492741,0.6291718170580964,0.5232588023644308,0.7315066850224963
